"Division","Division Name","AI Application","Department","Deployed","Impact","Cost Saved","Investment","ROI","Payback","User Adoption","User Satisfaction","Accuracy","AI Technology","Status"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","AI-Driven Digital Experience","Digital Experience Department - Innovation & The Future – Digital Solutions & Services","2025","Other","AED 1,308,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Generative AI (GenAI) Natural Language Processing (NLP)  Machine Learning AI-assisted Design Generation AI-powered UX analytics Automated testing bots Design-to-code AI conversion tools","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","AI-Generated Podcast Production from DEWA Press Releases (NotebookLM)","Innovation & The Future","2025","Other","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Generative AI (LLM), Natural Language Processing (NLP), Text-to-Speech (AI Voice Synthesis), Google Cloud NotebookLM","Active"
"BILLING SERVICES","BILLING SERVICES","Billing Document Validation using ML","Billing Services- VALIDATION & NATIONAL CATEGORY","2025","Other","AED 120,131","AED 66,400","1.8×","0.6 yr","Not reported","Not reported","Not reported","SAP Machine Learning","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Construction Progress Monitoring & Change Detection","DEWA R&D / Water & Construction / Distribution Power","2024","Other","AED 1,500,000","AED 700,000","2.1×","0.5 yr","Not reported","Not reported","Not reported","U-Net Semantic Segmentation, XGBoost Classification, Computer Vision, SAR Change Detection (Sentinel-1), Optical Change Detection, Bi-temporal Image Analysis, Automated Permit Validation","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","Demand to Delivery (D2D)","Innovation & the Future","2026","Other","AED 1,296,000","AED 1,296,000","1.0×","1.0 yr","Not reported","Not reported","Not reported","Large Language Model / GenAI (OpenAI GPT-4o via API call)","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","DEWA App in OpenAI Apps Directory","Innovation & The Future","2026","Other","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Model Context Protocol / OpenAI ""GPT‑5.3/5.4""","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","DEWACAST — AI PV Power Forecasting Model","DEWA R&D / Distribution Power / Transmission Power","2023","Economic","AED 7,340,000","AED 1,500,000","4.9×","0.2 yr","Not reported","Not reported","Not reported","Deep Learning Optical Flow, Convolutional Neural Networks (CNN), NWP Model Integration, Time-Series Forecasting, Python REST API Inference Server (MORO Cloud GPU)","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","DEWASOL — Satellite-Based Solar Irradiance Estimation & Forecasting","DEWA R&D / Transmission Power / Distribution Power (Smart Distribution Control Center)","2023","Economic","AED 8,340,000","AED 1,500,000","5.6×","0.2 yr","Not reported","Not reported","Not reported","LSTM Neural Networks, XGBoost Ensemble, Satellite Cloud Motion Vectors, NWP Integration, Heliosat Method, REST API Deployment (TensorFlow / MORO GPU)","Active"
"DISTRIBUTION POWER","DISTRIBUTION POWER","Distribution Control Centre (DCC) Switching Generator","Distribution Operation / Distribution Control Center","2025","Other","AED 198,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Azure OpenAI (GPT-4o)","Active"
"BUSINESS SUPPORT & HUMAN RESOURCES","BUSINESS SUPPORT & HUMAN RESOURCES","Family Member update","BS&HR Employee Self Service/ HR","2026","Other","AED 59,500","AED 75,000","0.8×","1.3 yr","Not reported","Not reported","Not reported","Open AI 4.0-LLM based OCR","Active"
"BUSINESS SUPPORT & HUMAN RESOURCES","BUSINESS SUPPORT & HUMAN RESOURCES","Family Visa reimbursement","BS&HR Employee Self Service/ HR","2026","Other","AED 102,000","AED 25,000","4.1×","0.2 yr","Not reported","Not reported","Not reported","Open AI 4.0-LLM based OCR","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Fog Estimation & Density Mapping","DEWA R&D / Transmission Power / Generation Power","2023","Other","Not reported","AED 300,000","Not reported","Not reported","Not reported","Not reported","Not reported","Satellite Meteorological Data Processing (Meteosat), Fog Probability Classification, Raster Function Automation (ArcGIS), Hourly Update Pipeline, Spatial Pattern Recognition","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Fog Forecasting (3-Day Ahead Prediction)","DEWA R&D / Transmission Power / Generation Power / Distribution Power","2023","Other","Not reported","AED 300,000","Not reported","Not reported","Not reported","Not reported","Not reported","NWP Data Integration, Atmospheric Pattern Recognition, Machine Learning Fog Classification, Raster Animation (ESRI Experience Builder), Automated Forecast Pipeline","Active"
"GENERATION","GENERATION","Gas Turbine Intelligent Controller (GTIC)","Generation Division","2019","Economic","AED 9,340,000","AED 42,640,000","0.2×","4.6 yr","Not reported","Not reported","Not reported","AI + Machine Learning","Active"
"WATER & CIVIL","WATER & CIVIL","High Water Usage Alert - Proactive Customer Notification System for Water Conservation","Innovation & The Future, Water & Civil","2019","Economic","AED 880,214,996","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","AI Intelligence - Neural Network Based","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Material-Mind","R&D, BD&E, DEWA","2026","Other","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","NLP, Gen AI, Rammas GPT-4o","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","My Sustainable Living Programme (MSLP)","Innovation & the Future","2024","Economic","AED 68,570,000","AED 12,000,000","5.7×","0.2 yr","Not reported","Not reported","Not reported","AI, Machine Learning, Non Intrusive Appliance Dissagregation (NILM)","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Oil Spill Detection & Marine Pollution Monitoring","DEWA R&D / Generation Power — Jabel Ali Power Plant","2026","Other","Not reported","AED 1,000,000","Not reported","Not reported","Not reported","Not reported","Not reported","SAR (Synthetic Aperture Radar) Analysis, Supervised Machine Learning Classification, Random Forest, Object Detection, Spill Size Quantification","Active"
"BUSINESS SUPPORT & HUMAN RESOURCES","BUSINESS SUPPORT & HUMAN RESOURCES","Personal ID Update","BS&HR Employee Self Service/ HR","Not reported","Other","AED 102,000","AED 25,000","4.1×","0.2 yr","Not reported","Not reported","Not reported","Open AI 4.0-LLM based OCR","Active"
"GENERATION","GENERATION","Plant Intelligent Controller (PIC)","Generation Division","2022","Economic","AED 32,420,000","AED 25,100,000","1.3×","0.8 yr","Not reported","Not reported","Not reported","AI + Machine Learning","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","Rammas for you","Innovation & the Future","2017","Economic","AED 92,400,000","AED 12,233,338","7.5×","0.1 yr","Not reported","Not reported","Not reported","Generative AI (open AI GPT-4o), Natrual language processing, Cognitive Search, Machine learninig, Sentiment analysis, text analytics, Speech-to-Text/Text-to-Speech","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Red Tide (Harmful Algal Bloom) Early Warning System","DEWA R&D / Generation Power — Jabel Ali Power Plant","2023","Other","AED 1,000,000","AED 800,000","1.3×","0.8 yr","Not reported","Not reported","Not reported","Supervised Machine Learning Classification, Multispectral Remote Sensing (Sentinel-2, Landsat), Chlorophyll-a Index Analysis, Automated Alert System, Computer Vision","Active"
"BILLING SERVICES","BILLING SERVICES","RPA enabled document verification for Move-in","Billing Services VALIDATION & NATIONAL CATEGORY","2025","Other","AED 694,846","AED 75,000","9.3×","0.1 yr","Not reported","Not reported","Not reported","Kofax RPA process automation","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Sea Surface Temperature (SST) Monitoring","DEWA R&D / Generation Power — Jabel Ali Power Plant","2023","Other","AED 350,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Thermal Infrared Remote Sensing, Split-Window Algorithm, Landsat 8/9 Thermal Band Processing, Spatial Analytics (ArcGIS), Temporal Trend Analysis","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Sea Water Salinity Estimation","DEWA R&D / Generation Power — Jabel Ali Desalination & Power Plant","2024","Other","AED 350,000","AED 500,000","0.7×","1.4 yr","Not reported","Not reported","Not reported","WASI Index Spectral Analysis, Multispectral Remote Sensing (Sentinel-2, Landsat), Statistical Regression, Ground-Truth Validation, Spatial Analytics","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","Security Deposit Refund Automation","Innovation & The Future","2025","Other","AED 2,266,875","AED 207,500","10.9×","0.1 yr","Not reported","Not reported","Not reported","SAP-native automation","Active"
"WATER & CIVIL","WATER & CIVIL","Smart Outage Management System","Water & CivilWater & Civil","2024","Economic","AED 8,590,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Artificial Intelligence - Neural Network Based","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","Smart Response","Innovation & The Future","2020","Other","AED 120,131","AED 100,000","1.2×","0.8 yr","Not reported","Not reported","Not reported","Computer Vision + For image classification and detection, algorithm developed using Faster RCNN with Tensor flow. We have used almost 22,000 images to train the system .","Active"
"FINANCE","FINANCE","Supplier Invoice Verification Using AI","Finance Operations","2026","Other","AED 120,131","AED 70,000","1.7×","0.6 yr","Not reported","Not reported","Not reported","Open AI - LLM based OCR","Active"
"BUSINESS SUPPORT & HUMAN RESOURCES","BUSINESS SUPPORT & HUMAN RESOURCES","Update off cycle payroll entries from Memo records BS&HR","BS&HR Finance Operations","2026","Other","AED 59,500","AED 100,000","0.6×","1.7 yr","Not reported","Not reported","Not reported","Open AI 4.0-LLM based OCR","Active"
"INNOVATION & THE FUTURE","INNOVATION & THE FUTURE","Voice Of Customer","Innovation & The Future","2025","Other","Not reported","AED 855,000","Not reported","Not reported","Not reported","Not reported","Not reported","Agentic AI, Open AI GPT 4o, Agentic Workflow (Prefect), LLM Guardrails, Multi-Agent Orchestration, Detailed agent's fetures:  Data Ingestion Agent – Collects customer feedback from multiple internal and external channels and prepares it for AI processing. Interaction Processing Agent – Cleans, structures, and processes raw data such as call transcripts, comments, and survey responses. Knowledge Retrieval Agent – Retrieves relevant enterprise knowledge and historical information to provide context for analysis. Sentiment & Intent Analysis Agent– Identifies customer sentiment, intent, and key topics within the feedback data. Insight Generation Agent – Detects patterns and recurring service issues across large volumes of customer interactions. AI Reasoning Agent – Performs deeper analysis to identify root causes and prioritize issues based on impact. Recommendation Agent – Generates actionable recommendations to improve services and address customer concerns. Workflow Orchestration Agent – Coordinates the execution of different AI agents and manages the end-to-end analysis workflow. Enterprise Integration Agent – Connects VOC insights with enterprise systems to trigger actions such as ticket creation and reporting. Governance & Guardrail Agent – Ensures AI outputs follow policy guidelines, maintain accuracy, and comply with enterprise standards.","Active"
"WATER & CIVIL","WATER & CIVIL","Water Anomaly Detection System","Water & Civil","2023","Economic","AED 8,650,000","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Machine Learning / Anomaly Detection AI","Active"
"BUSINESS DEVELOPMENT & EXCELLENCE","BUSINESS DEVELOPMENT & EXCELLENCE","Weather Monitoring & DEWA Asset Protection Forecasting","DEWA R&D / Transmission Power / Distribution Power","2024","Economic","AED 7,000,000","AED 400,000","17.5×","0.1 yr","Not reported","Not reported","Not reported","Meteorological Satellite Data Processing (Meteosat), NWP Integration (DEWACAST framework), Spatial Weather Pattern Classification, Automated Alert Generation, ArcGIS Spatial Analytics","Active"